address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"1581 W El Camino Real, Mountain View, CA 94040",1581 El Camino Real West,First Community Housing ,2013-5,"In January 2013, Council approved 26 studio units for development ally disabled individuals and 1 two-bedro om manager unit for First Community Housing. The project will be applying for tax credits during the July 2013 round. Building permits and construction timeframes will depend on the tax credits. (Miramonte/Springer Planning Area) ",2015-5,"In January 2013, the City Council approved a Conditional Use Permit, Development Review Permit, and Density Bonus to allow a 27-unit residential development consisting of 26 studio units for high functioning developmentally disabled individuals and a two-bedroom manager unit, and a Heritage Tree Removal Permit to remove two Heritage trees, to replace a multi-family apartment complex on a 0.48-acre project site. Link to Project Website: http://www.firsthousing.com/blog/author/admin/ Status/Next Step(s): Approved. Construction began in spring 2014 and is expected to be completed in summer 2015. Planning Area: Miramonte/Springer Project Planner: Stephanie Williams Applicant: First Community Housing",no permit,0,,,,
"160 E El Camino Real, Mountain View, CA 94040",161 6 El Camino Real W.,Austin’s – Prometheus ,2015-10,"In March 2014, the City Council approved a r equest for a Rezone from the CRA (Commercial/Residential-Arterial) district to the P (Planned Community) district, a Planned Community Permit to construct a 66 unit, 4-story apartment bui lding to replace two existing retail buildings totaling approximately 6,100 square feet, and a Heritage Tree Removal Permit for the removal of two heritage trees on a 0.99 acre project site, located on the northwest corner of El Camino Real and Mariposa Avenue is expected to be completed in summer 2016.",2015-10,"In March 2014, the City Council approved a r equest for a Rezone from the CRA (Commercial/Residential-Arterial) district to the P (Planned Community) district, a Planned Community Permit to construct a 66 unit, 4-story apartment bui lding to replace two existing retail buildings totaling approximately 6,100 square feet, and a Heritage Tree Removal Permit for the removal of two heritage trees on a 0.99 acre project site, located on the northwest corner of El Camino Real and Mariposa Avenue is expected to be completed in summer 2016.",no permit,0,,,,
"1616 W El Camino Real, Mountain View, CA 94040",1616 El Camino Real West,Austin’s – Prometheus ,2013-5,"In January 2013, Council authorized a Gatekeeper request to study a 67 unit apartment project, adjacent to the Tropicana project. Formal review began after Council approved the Tropicana project in March 2013. An EPC study session was held in May 2013. The applicant is revising their plans. (Central Neighborhoods Planning Area) ",2016-10,"In March 2014, the City Council approved a r equest for a Rezone from the CRA (Commercial/Residential-Arterial) district to the P (Planned Community) district, a Planned Community Permit to construct a 66 unit, 4-story apartment building to replace two existing retail buildings totaling approximately 6,100 square feet, and a Heritag e Tree Removal Perm it for the removal of two H eritage trees on a 0.99 acre project site, located on the northwest corner of El Camino Real and Mariposa Avenue. On April 27, 2016, the Zoning Administr ator approved the removal of a Heritage tree due to construction impacts on the tree. fall 2016.",no permit,0,,,,
"1625 N Shoreline Blvd, Mountain View, CA 94043",Shashi Hotel (1625 North Shoreline Boulevard,Shashi Hotel ,2015-3,"Request for a Planned Community Permit to construct a five-story, 200 room hotel and a four-level parking structure and a Heritage Tree Removal Permit to remove 4 Heritage trees on a 1.35 acre site. The site is located on the east side of North Shoreline Boulevard on the southeast corner of North Shoreline Bouelvard and Space Park Way in the P-39 (Nor th Bayshore 2014) Precise Plan. Status/ Next Steps(s): Under Review Planning Area: North Bayshore Project Planner: Scott Plambaeck Applicant: Shashi Hotel",2020-5,"On November 1, 2016, the City Council approved a Planned Community Permit and Development Review Permit to demolish an existing 12,100 square foot commercial building and construct a five-story, 104,750 square foot, 200-room hotel and a five-level parking structure and a Heri tage Tree Removal Permit to remove two Heritage trees on a 1.3 9-acre project site. The project is located on the southeast corner of North Shoreline Boulevard and Space Park Way in the P-39 (North Bayshore) Precise Plan.",no permit,0,,,,
"1625 Plymouth St, Mountain View, CA 94043",1625 Plymouth Street,Broadreach ,2014-10,"Request for an informal review of a new six story, 224,508 square foot office building and parking structure on a vacant 5.15 acre lot, located on the south side of Plymouth Street between North Shoreline Boulevard and Alta Avenue. Status/Next Step(s): Under review. Council authorized a gatekeeper to allow the project to be reviewed informally prior to the adoption of the North Bayshore Precise Plan. The applicant submitted plans for informal Development Review Committee (DRC) review and comment. Planning Area: North Bayshore Project Planner: Stephanie Williams",2018-5,"On June 21, 2016 the City Council approved a Planned Community Permit and Development Review Permit for a new six story, 224,50 5 square foot office building and a 4.5 tier parking structure and a Heritage Tree Removal permit for the removal of 15 Heritage trees and the re-location of five Heritage trees on a vacant 5.15 acre project site. The project is located on the south side of Plymouth Street between North Shoreline Boulevard and Alta Avenue.",no permit,0,,,,
"167 N Whisman Rd, Mountain View, CA 94043",167 N. Whisman Rd .,,2013-10,"In September 2013, plans for a 2- unit small-lot single family subdivision on 0. 3 acres in the Whisman Station Precise Plan was submitted. Final City action is expected in early 2014. ",2019-4,"On May 10, 2017 the Zoning Administrator approved a Planned Community Permit and Development Review Permit to construct two single famil y homes and a Heritage tree removal permit to remove three Heritage trees. The project is located on the southeast corner of North Whisman Road and Pacific Drive in the P-35 (Whisman Station) Precise Plan.",no permit,0,,,,
"167 N Whisman Rd, Unit SMALL, Mountain View, CA 94043","167 N. Whisman Rd. In September 2013, plans were submitted for a 2-unit small-lot single-family subdivision totaling approximately 6,600 square feet on 0.3 acres in the Whisman Station Precise Plan area.",,2015-2,Status/Next Step(s): Under review. The Zoning Administrator will likely hold an administrative zoning hearing to take final action on the project in early 2015. Planning Area: Moffett/Whisman Project Planner: Elizabeth Cramblet,2015-2,Status/Next Step(s): Under review. The Zoning Administrator will likely hold an administrative zoning hearing to take final action on the project in early 2015. Planning Area: Moffett/Whisman Project Planner: Elizabeth Cramblet,no permit,0,,,,
"1701 W El Camino Real, Mountain View, CA 94040",1701 W. El Camino Real,,2014-4,"In April 2014 an application was submitted for a 24-unit residential development, inclu ding a S tate density bonus request for a 20% density bonus (4 units). The development is proposed to be four stories, with two to three stories of residential units abo ve ground-level podium parking, on the southwest corner of El Camino Real West and Rich Avenue. ",2019-8,"On June 21, 2016, the City Council approved a Planned Community Permit with a State Density Bonus to construct a 67-unit affordable studio apartment development (including one, 1-bedroom manager's unit) on a 0.49-acre vacant lot. The project is loca ted on the southwest corner of W est El Camino Real and Rich Avenue in the P-38 (El Camino Real) Precise Plan.",5 or More Units Per Structure,66,,,,
"1720 Villa St, Mountain View, CA 94041",1720 Villa Street ,,2019-4,"Request for a General Plan Amendment from Medium- Density Residential and Low- Density Residential to High Density Residential, a Zoning Map Amendment from R3-2 and R1 to P-17, a Precise Plan Amendment to the Villa-Mariposa Precise Plan, a Development Review Permit to construct a 226-unit apartment complex over two levels of underground parking to replace a 16-unit apartment building and 3 single family homes, and a Heritage Tree Removal permit to remove 26 Heritage trees. The project is located on the north side of Villa Street at Chiquita Avenue in the P-17 (Villa-Mariposa) Precise Plan, the R1 (Single- Family Residential) district and the R3-2 (Multiple-Family Residential) district.",2022-10,"On June 4, 2019, City Council approved a General Plan Amendment from Medium-Density Residential and Low-Density Residential to High-Density Residential; a Zoning Map Amendment from R3-2 (Multiple-Family Residential) district and R1 (Single-Family Residential) district to P-17 (Villa Mariposa) Precise Plan; a Precise Plan Amendment to the Villa-Mariposa Precise Plan; a Planned Community Permit and Development Review Permit to construct a 226-unit ap artment complex over two levels of underground parking, replac ing 16 apartment units and 3 single family homes; a Heritage Tree Removal Permit to remove 26 Heritage trees; and a Preliminary Parcel Map to create two parcels. The project is located on the no rth side of Villa Street at Chiquita Avenue in the P-17 (Villa-Mariposa) Precise Plan, the R1 (Single-Family Residential) district and the R3-2 (Multiple-Family Residential) district.",5 or More Units Per Structure,207,,,,
"1720 W El Camino Real, Mountain View, CA 94040",1720 El Camino Real West,Tropicana Lodge – Prometheus ,2013-5,"In March 2013, Council approved a 169- unit apartment project on 2.51 acres at the former Tropicana Lodge and Western Appliance Store. Building permit submittal is expected summer 2013. ",2016-10,"In March 2013, the City Council approved a r equest for a Rezone from CRA (Commercial/Retail Arterial) to P (Planned Community), a Planned Community Permit to construct up to a 162-unit residential apartment building in two four-story buildings and the removal of 11 H eritage trees to replace the Tropicana Lodge and Western Appliance Store on a 2.51-acre site, on the north side of El Camino Real, between Mariposa Avenue and Escuela Avenue. expected to be completed fall of 2016.",no permit,0,,,,
"1740 W El Camino Real, Mountain View, CA 94040",1740 El Camino Real West,Residence Inn ,2013-5,"In January 2013, Residence Inn submitted an informal application for a new four story, 22,000 square foot building with 32 hotel rooms. Zoning Administrator final action is expected in July 2013. ",2016-10,"In August 2013, the Zoning Administrator approved a Conditional Use Permit for a new four story, 22,000 square foot hotel building with 32 rooms on a 0.38-acre site. expected to b e completed in fall 2016.",no permit,0,,,,
"178 W Maude Ave, Sunnyvale, CA 94085",186 East Mid dlefield Road,,2018-9,"On May 17, 2016 the City Council approved a Planned Unit Development Permit and Development Review Permit for an 8-unit condominium project over a shared parking podium, replacing several small residential structures and a request to remove four Heritage trees. The proj ect will be oriented toward Flynn Avenue and will not remove the struct ures facing East Middlefield Road.",2020-3,"On May 17, 2016, the City Council approved a Planned Unit Development Permit and Development Review Permit for an 8-unit condominium project over a shared parking podium, replacing several small residential structures, and a Heritage Tree Removal Permit to remove four Her itage trees. The project will be oriented toward Flynn Avenue and will not remove the struct ures facing East Middlefield Road. This property spans the block between East Middlefield Road and Flynn Avenue between Tyrella Street and North Whisman Road in th e R3-2 (Multiple-Family Residential) district.",no permit,0,,,,
